dt,sale_amount,product_id,product_id_original,name_products,tipo_producto_app,store_id,nombre_tienda,nombre_categoria_n1,discount,holiday_flag,activity_flag,horas_con_stock,venta_lag_1,venta_lag_7,venta_promedio_7d,venta_promedio_14d,stock_lag_1
2024-03-28,3.4,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.996,0,0,0,,,,,
2024-03-29,2.5,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.997,0,0,0,3.4,,3.4,3.4,0.0
2024-03-30,4.5,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,1,0,0,2.5,,2.95,2.95,0.0
2024-03-31,4.4,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.999,1,0,5,4.5,,3.466666666666667,3.466666666666667,0.0
2024-04-01,3.3,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.997,0,0,6,4.4,,3.7,3.7,3.0
2024-04-02,3.5,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.993,0,0,3,3.3,,3.62,3.62,3.0
2024-04-03,1.9,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,0,0,0,3.5,,3.6,3.6,0.0
2024-04-04,5.4,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.997,1,0,4,1.9,3.4,3.357142857142857,3.357142857142857,0.0
2024-04-05,2.9,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.996,1,0,7,5.4,2.5,3.642857142857143,3.6125,2.0
2024-04-06,0.3,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,1,0,24,2.9,4.5,3.7,3.533333333333333,2.0
2024-04-07,3.9,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,0.997,0,0,11,0.3,4.4,3.1,3.21,16.0
2024-04-08,3.6,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,0,0,12,3.9,3.3,3.0285714285714285,3.272727272727273,3.0
2024-04-09,6.6,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,0,0,4,3.6,3.5,3.0714285714285716,3.3000000000000003,5.0
2024-04-10,5.5,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,0,0,2,6.6,1.9,3.514285714285714,3.553846153846154,0.0
2024-04-11,2.0,001,300,Metotrexato 500mg,Clinico,0,Tienda 001,Oncologicos,1.0,0,0,6,5.5,5.4,4.0285714285714285,3.692857142857143,0.0
